#{"t_start": 1748227096.554158, "env_id": "None"}
r,l,t
-5.8,21,1.656605
-2.5999994,21,1.852029
-2.1999998,21,2.015412
-4.6,21,2.176966
-6.2999997,21,2.346089
-4.2,21,2.508857
-4.7,21,2.662503
-4.5,21,2.847361
-3.3999996,21,3.025755
-6.8999996,21,3.241907
-3.4999995,21,3.395438
-1.1920929e-07,21,3.564211
-2.4,21,3.849377
-4.5,21,4.011836
-1.8000001,21,4.187866
-4.3999996,21,4.338198
-3.1999998,21,4.510913
-2.8999996,21,4.658056
-3.1999998,21,4.838215
-3.3000002,21,4.994444
-5.7,21,5.234165
-3.1,21,5.400719
-2.1,21,5.554255
-5.2999997,21,5.723527
-0.6,21,5.939265
-2.4,21,6.101654
-1.2,21,6.286554
-6.5999994,21,6.740402
-5.7999997,21,6.925192
-2.9999998,21,7.088249
-3.6,21,7.288272
-0.2,21,7.457098
-7.0999994,21,8.572783
-2.3,21,8.726487
-1.3999997,21,9.012055
-4.2,21,9.186623
-8.200001,21,9.32961
0.79999995,21,9.506502
-1.8000001,21,9.660149
-3.1999998,21,9.822699
-3.3999996,21,9.976338
-5.8999996,21,10.145611
-3.3000002,21,10.407771
-5.8999996,21,10.577542
-2.8000002,21,10.746814
0.59999996,21,10.891968
-0.19999993,21,11.047112
-1.3000002,21,11.216383
-2.3999999,21,11.376525
-3.1,21,11.532673
-2.6,21,11.695441
-5.7,21,13.688407
-3.0,21,13.850741
-2.4999995,21,14.35084
1.3,21,49.452907
-7.1,21,49.656837
-1.3000002,21,49.809191
-3.7999997,21,50.193921
-7.6,21,50.373844
-2.4,21,50.8247
-4.0999994,21,50.981051
-2.3,21,51.150323
-2.2999997,21,51.344859
-4.9999995,21,51.519192
-0.70000005,21,51.683073
-3.1999998,21,51.835084
-0.4000001,21,52.037055
-0.20000005,21,52.745503
-3.6999998,21,53.010872
-3.5,21,53.161926
-5.2999997,21,53.344429
-4.2,21,53.499692
-1.9,21,53.684589
-2.4,21,53.837489
-3.3999999,21,54.045831
-2.1,21,54.205548
-5.3999996,21,54.365247
-0.30000007,21,54.532268
-4.2999997,21,54.698607
-1.0000001,21,54.858408
-1.6,21,55.018059
-6.2,21,55.201389
-3.4999995,21,55.365416
-5.2999997,21,55.548599
-1.3000001,21,55.717875
-3.1999998,21,55.886643
-5.5999994,21,56.060324
-2.2999997,21,56.219464
-3.7999997,21,56.379197
1.3,21,56.636301
-5.0,21,56.961448
-5.3,21,57.118785
1.5999999,21,57.287289
-0.5,21,57.450673
-1.0000001,21,57.623713
-2.7999997,21,57.79893
-2.5,21,58.032292
